Topics,Alpha,Beta,Coherence
5,0.01,0.2,0.5127485847290596
5,0.05,0.2,0.5130582265648347
5,0.1,0.2,0.5141374109721817
5,0.2,0.2,0.5319717505276262
5,0.5,0.2,0.5637860818774417
5,1.0,0.2,0.5584031823641136
10,0.01,0.1,0.47649098320580335
10,0.05,0.1,0.46415591816227114
10,0.1,0.1,0.46182912337108
10,0.2,0.1,0.4772920123740688
10,0.5,0.1,0.4828764015685888
10,1.0,0.1,0.51943043069385
20,0.01,0.05,0.48851405072202975
20,0.05,0.05,0.47959092180941243
20,0.1,0.05,0.48789884722068155
20,0.2,0.05,0.4344581627166882
20,0.5,0.05,0.48096529144727523
20,1.0,0.05,0.5176443685299258
30,0.01,0.03333333333333333,0.45842350247164027
30,0.05,0.03333333333333333,0.44843689774859086
30,0.1,0.03333333333333333,0.45285383533509793
30,0.2,0.03333333333333333,0.4616838054157074
30,0.5,0.03333333333333333,0.4636644084768945
30,1.0,0.03333333333333333,0.47586757895574405
