Topics,Alpha,Beta,Coherence
5,0.01,0.2,0.5188130918322591
5,0.05,0.2,0.545049684376798
5,0.1,0.2,0.5326394508338026
5,0.2,0.2,0.5575651232734606
5,0.5,0.2,0.588301711586334
5,1.0,0.2,0.5919125569252406
10,0.01,0.1,0.4066444260348726
10,0.05,0.1,0.41093202698511055
10,0.1,0.1,0.4156767486723698
10,0.2,0.1,0.42337417353502893
10,0.5,0.1,0.4671992000397681
10,1.0,0.1,0.4958397118053225
20,0.01,0.05,0.41178793077960013
20,0.05,0.05,0.4040119407992043
20,0.1,0.05,0.3940310881024052
20,0.2,0.05,0.4526102997870912
20,0.5,0.05,0.4547797939518479
20,1.0,0.05,0.45941629694362857
30,0.01,0.03333333333333333,0.4765001008831436
30,0.05,0.03333333333333333,0.48352642244669114
30,0.1,0.03333333333333333,0.48551002905783364
30,0.2,0.03333333333333333,0.5121021351758928
30,0.5,0.03333333333333333,0.4194623759371144
30,1.0,0.03333333333333333,0.398281893352154
