Topics,Alpha,Beta,Coherence
5,0.01,0.2,0.6016461949722964
5,0.05,0.2,0.6034813900035713
5,0.1,0.2,0.5846629674154018
5,0.2,0.2,0.553893964134093
5,0.5,0.2,0.668860293968037
5,1.0,0.2,0.695418050515428
10,0.01,0.1,0.51671445113345
10,0.05,0.1,0.5315092553314879
10,0.1,0.1,0.5384734432878137
10,0.2,0.1,0.5461184029321892
10,0.5,0.1,0.6253460472935441
10,1.0,0.1,0.6559895048483556
20,0.01,0.05,0.4680231027918258
20,0.05,0.05,0.46113381470649656
20,0.1,0.05,0.4760800899091716
20,0.2,0.05,0.4632987362986919
20,0.5,0.05,0.44176104165882446
20,1.0,0.05,0.43589633755299617
30,0.01,0.03333333333333333,0.42312646461950004
30,0.05,0.03333333333333333,0.4137063548348686
30,0.1,0.03333333333333333,0.4242686298931834
30,0.2,0.03333333333333333,0.4009006394139174
30,0.5,0.03333333333333333,0.3601669465594338
30,1.0,0.03333333333333333,0.38665094275510115
