Topics,Alpha,Beta,Coherence
5,0.01,0.2,0.46215727299492704
5,0.05,0.2,0.475949740884384
5,0.1,0.2,0.4725864403698793
5,0.2,0.2,0.462187508057516
5,0.5,0.2,0.5139876480935635
5,1.0,0.2,0.5226020993962525
10,0.01,0.1,0.44537656739566345
10,0.05,0.1,0.44249188779580917
10,0.1,0.1,0.42562174744265013
10,0.2,0.1,0.43234725698831583
10,0.5,0.1,0.48420929799217927
10,1.0,0.1,0.45106929489707104
20,0.01,0.05,0.5002477441153024
20,0.05,0.05,0.515560077269345
20,0.1,0.05,0.5190624611176899
20,0.2,0.05,0.4884948191470663
20,0.5,0.05,0.48577223614656584
20,1.0,0.05,0.49059211602464076
30,0.01,0.03333333333333333,0.5148438144572455
30,0.05,0.03333333333333333,0.510141542831873
30,0.1,0.03333333333333333,0.5057254134472735
30,0.2,0.03333333333333333,0.48142530321700044
30,0.5,0.03333333333333333,0.4640248946909255
30,1.0,0.03333333333333333,0.4685723248047855
